"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3397.17356123877/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x09653aae17783f8e34dfab5cacdcaa8b884b7af633b92cf005289054f34eec6c","19429914","1710378731","2024-03-14 01:12:11","0x7c09ec3aecee2e313897455d54dc595d3517fb4b","0xfa1db6794de6e994b60741decae0567946992181","","0.002326","0","7.90182570344138","0.000945","3.21032901537064","3880.80","","","Transfer"
"0x05bd8001b7309562da5842d3e987114ff33e345c7a2538733045ac5152c51dd6","19429990","1710379667","2024-03-14 01:27:47","0x7c09ec3aecee2e313897455d54dc595d3517fb4b","0xfa1db6794de6e994b60741decae0567946992181","","0.003878","0","13.174239070484","0.001155","3.92373546323078","3880.80","","","Transfer"
"0xaa52584150618dc88c1b0cb0fdd04b401ae83967b092e7fb2d3822be6b81047d","19430816","1710389735","2024-03-14 04:15:35","0xfa1db6794de6e994b60741decae0567946992181","0xd41a74d3713ce95c180bc9e91a8bff68ac34b58e","","0","0.004982441282859","16.9262177965532","0.001221558717141","4.14984697737215","3880.80","","","Transfer"
"0xf04242ff9bf8414651513a7f87e82c6a95566370a4efb5fa726bb0b3b37d3fba","19548263","1711819895","2024-03-30 17:31:35","0x2c170e22829671bae287ef295de86610646359ea","0xfa1db6794de6e994b60741decae0567946992181","","0.00050513","0","1.71601428098854","0.000624710721138","2.12225074527242","3507.56","","","Transfer"
"0x146b1342766c8f1cb67d6f43282eaa24b321c54d4233f172d287a44d97173fbb","19552992","1711877303","2024-03-31 09:28:23","0xfa1db6794de6e994b60741decae0567946992181","0xb0c16536d4f5475c49d8db5472330a6358fb122f","","0","0.00003097919861","0.105241714466257","0.00047415080139","1.61077256652228","3645.98","","","Transfer"
"0xb23bd95afeba2717c1d9a2448072c38fea2b4ccc298468c75be0454f3f4eecfd","19620517","1712695127","2024-04-09 20:38:47","0x2c170e22829671bae287ef295de86610646359ea","0xfa1db6794de6e994b60741decae0567946992181","","0.00199214","0","6.7676453382862","0.000417488869749","1.41828215042276","3504.83","","","Transfer"
"0x10b2da2401dd9f8ce444fbb092754fd81925eca4e23f0e44ffc3b36a247595b3","19621256","1712704055","2024-04-09 23:07:35","0xfa1db6794de6e994b60741decae0567946992181","0x8e4a66ee67465db17b05798982a3797e5141741d","","0","0.00086619","2.94259776700941","0.000398582455782","1.35405378075623","3504.83","","","Transfer"
"0x9fb0a38da798084d91d1b6e03409c1e682afa398554c0ab740d60b6f345be0ee","19633905","1712856971","2024-04-11 17:36:11","0xfa1db6794de6e994b60741decae0567946992181","0x9d1ae8fd85454f12f0a66e64a1c2c5f91dcb276d","","0","0.00005","0.169858678061939","0.000511866206628","1.73889834404822","3503.21","","","Transfer"
"0x8c569426dd9279b471a35f5ac6c239c17c112252f44331c089c1731d03e623a1","19945127","1716618827","2024-05-25 06:33:47","0xfa1db6794de6e994b60741decae0567946992181","0xfa1db6794de6e994b60741decae0567946992181","","0.00004132076250481","0.00004132076250481","0.140373801911567","0.000071289070629","0.242181345946122","3749.23","","","Transfer"
"0x1c82522e303899878b4a473a5585c05b1ae8c22314e66e6fbb547e2e9da5d91d","20151719","1719113339","2024-06-23 03:28:59","0xfa1db6794de6e994b60741decae0567946992181","0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2","","0","0","0","0.000075935092737232","0.257964689417139","3418.62","","","Approve"
